Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1664213833.4686952,0,63434,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.2,4689487.976306741,327945.4125530148,19,T
1664213834.469031,0,63435,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.2,4689487.976306741,327945.4125530148,19,T
1664213835.4693143,0,63436,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.0,4689487.976306741,327945.4125530148,19,T
1664213836.4869955,0,63437,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.0,4689487.976306741,327945.4125530148,19,T
1664213837.4680576,0,63438,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.0,4689487.976306741,327945.4125530148,19,T
1664213838.469398,0,63439,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.0,4689487.976306741,327945.4125530148,19,T
1664213839.4874358,0,63440,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.0,4689487.976306741,327945.4125530148,19,T
1664213840.4870403,0,63441,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.0,4689487.976306741,327945.4125530148,19,T
1664213841.4678519,0,63442,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.0,4689487.976306741,327945.4125530148,19,T
1664213842.467869,0,63443,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.0,4689487.976306741,327945.4125530148,19,T
1664213843.4846847,0,63444,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.2,4689487.976306741,327945.4125530148,19,T
1664213844.4880543,0,63445,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.0,4689487.976306741,327945.4125530148,19,T
1664213845.4684684,0,63446,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.2,4689487.976306741,327945.4125530148,19,T
1664213846.4876475,0,63447,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.2,4689487.976306741,327945.4125530148,19,T
1664213847.4879167,0,63448,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.2,4689487.976306741,327945.4125530148,19,T
1664213848.4675438,0,63449,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.2,4689487.976306741,327945.4125530148,19,T
1664213849.4672356,0,63450,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.2,4689487.976306741,327945.4125530148,19,T
1664213850.4692214,0,63451,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.2,4689487.976306741,327945.4125530148,19,T
1664213851.4857018,0,63452,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.3,4689487.976306741,327945.4125530148,19,T
1664213852.467393,0,63453,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.3,4689487.976306741,327945.4125530148,19,T
1664213853.4669802,0,63454,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.3,4689487.976306741,327945.4125530148,19,T
1664213854.4858577,0,63455,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.3,4689487.976306741,327945.4125530148,19,T
1664213855.4856787,0,63456,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.3,4689487.976306741,327945.4125530148,19,T
1664213856.467401,0,63457,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.3,4689487.976306741,327945.4125530148,19,T
1664213857.467634,0,63458,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.3,4689487.976306741,327945.4125530148,19,T
1664213858.4876113,0,63459,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.3,4689487.976306741,327945.4125530148,19,T
1664213859.4882393,0,63460,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.2,4689487.976306741,327945.4125530148,19,T
1664213860.4695706,0,63461,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.2,4689487.976306741,327945.4125530148,19,T
1664213861.4694483,0,63462,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.2,4689487.976306741,327945.4125530148,19,T
1664213862.4903555,0,63463,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.2,4689487.976306741,327945.4125530148,19,T
1664213863.488043,0,63464,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.2,4689487.976306741,327945.4125530148,19,T
1664213864.488348,0,63465,0,GPS1_Frame1,42.338633333333334,-71.08857833333333,1.2,4689487.976306741,327945.4125530148,19,T
1664213865.4678607,0,63466,0,GPS1_Frame1,42.338633333333334,-71.08858,1.2,4689487.979679219,327945.275249264,19,T
1664213866.4681492,0,63467,0,GPS1_Frame1,42.338633333333334,-71.08858,1.2,4689487.979679219,327945.275249264,19,T
1664213867.4681456,0,63468,0,GPS1_Frame1,42.338633333333334,-71.08858,1.2,4689487.979679219,327945.275249264,19,T
1664213868.470071,0,63469,0,GPS1_Frame1,42.338635,-71.08858,1.2,4689488.164749887,327945.2797950022,19,T
1664213869.4687035,0,63470,0,GPS1_Frame1,42.338635,-71.08858,1.2,4689488.164749887,327945.2797950022,19,T
1664213870.4687257,0,63471,0,GPS1_Frame1,42.338635,-71.08858,1.2,4689488.164749887,327945.2797950022,19,T
1664213871.468534,0,63472,0,GPS1_Frame1,42.33864333333333,-71.08858833333333,1.0,4689489.106965652,327944.6160050562,19,T
1664213872.4689887,0,63473,0,GPS1_Frame1,42.33864333333333,-71.08858833333333,1.0,4689489.106965652,327944.6160050562,19,T
1664213873.4665747,0,63474,0,GPS1_Frame1,42.33864833333333,-71.08859333333334,1.2,4689489.672295145,327944.21773117565,19,T
